name,falsePositive,truePositive
frame_0481.jpg,False,True
frame_0483.jpg,False,True
frame_0484.jpg,False,True
frame_0485.jpg,False,True
frame_0486.jpg,False,True
frame_0487.jpg,False,True
frame_0488.jpg,False,True
frame_0489.jpg,False,True
frame_049.jpg,True,False
frame_0491.jpg,False,True
frame_0493.jpg,False,True
frame_0495.jpg,False,True
frame_0496.jpg,False,True
frame_0497.jpg,False,True
frame_0498.jpg,False,True
frame_0499.jpg,False,True
frame_050.jpg,True,False
frame_0500.jpg,False,True
frame_0502.jpg,False,True
frame_0504.jpg,False,True
frame_0505.jpg,False,True
frame_0506.jpg,False,True
frame_0507.jpg,False,True
frame_051.jpg,True,False
frame_0511.jpg,False,True
frame_0512.jpg,False,True
frame_0515.jpg,False,True
frame_0519.jpg,False,True
frame_052.jpg,True,False
frame_0520.jpg,False,True
frame_0523.jpg,False,True
frame_0524.jpg,False,True
frame_0527.jpg,False,True
frame_0536.jpg,False,True
frame_0537.jpg,False,True
frame_054.jpg,True,False
frame_0542.jpg,False,True
frame_0543.jpg,False,True
frame_0545.jpg,False,True
frame_055.jpg,True,False
frame_0550.jpg,False,True
frame_0556.jpg,True,False
frame_0557.jpg,True,False
frame_0558.jpg,True,False
frame_056.jpg,False,True
frame_0607.jpg,True,False
frame_0608.jpg,True,False
frame_0609.jpg,False,True
frame_0610.jpg,False,True
frame_0611.jpg,False,True
frame_0612.jpg,False,True
frame_0613.jpg,False,True
frame_0615.jpg,False,True
frame_0616.jpg,False,True
frame_0617.jpg,False,True
frame_0620.jpg,False,True
frame_0621.jpg,False,True
frame_0622.jpg,False,True
frame_0623.jpg,False,True
frame_0624.jpg,False,True
frame_0629.jpg,False,True
frame_0630.jpg,False,True
frame_0633.jpg,False,True
frame_0641.jpg,False,True
frame_0643.jpg,False,True
frame_0644.jpg,False,True
frame_0647.jpg,False,True
frame_0648.jpg,True,False
frame_0650.jpg,False,True
frame_0651.jpg,False,True
frame_0652.jpg,False,True
frame_0654.jpg,False,True
frame_0655.jpg,False,True
frame_0657.jpg,True,False
frame_0661.jpg,False,True
frame_0662.jpg,False,True
frame_0663.jpg,False,True
frame_0664.jpg,False,True
frame_0666.jpg,True,False
frame_0668.jpg,False,True
frame_067.jpg,True,False
frame_0670.jpg,True,False
frame_0671.jpg,False,True
frame_0672.jpg,False,True
frame_0673.jpg,False,True
frame_0674.jpg,False,True
frame_0675.jpg,False,True
frame_0676.jpg,False,True
frame_0679.jpg,False,True
frame_068.jpg,True,False
frame_0680.jpg,False,True
frame_0683.jpg,False,True
frame_0684.jpg,False,True
frame_0685.jpg,False,True
frame_0687.jpg,False,True
frame_069.jpg,False,True
frame_0690.jpg,False,True
frame_0692.jpg,True,False
frame_0694.jpg,True,False
frame_07.jpg,False,True
frame_070.jpg,False,True
frame_0703.jpg,True,False
frame_0720.jpg,True,False
frame_0722.jpg,True,False
frame_0723.jpg,False,True
frame_0724.jpg,False,True
frame_0725.jpg,False,True
frame_0726.jpg,False,True
frame_0729.jpg,False,True
frame_073.jpg,False,True
frame_0730.jpg,False,True
frame_0731.jpg,False,True
frame_0732.jpg,False,True
frame_0733.jpg,False,True
frame_0735.jpg,False,True
frame_0736.jpg,False,True
frame_0737.jpg,False,True
frame_0738.jpg,False,True
frame_0739.jpg,False,True
frame_074.jpg,False,True
frame_0740.jpg,True,False
frame_0743.jpg,True,False
frame_0744.jpg,True,False
frame_0745.jpg,True,False
frame_0746.jpg,True,False
frame_0752.jpg,True,False
frame_0759.jpg,True,False
frame_076.jpg,False,True
frame_0760.jpg,True,False
frame_0761.jpg,True,False
frame_0762.jpg,True,False
frame_0768.jpg,True,False
frame_0769.jpg,True,False
frame_077.jpg,False,True
frame_0770.jpg,False,True
frame_0771.jpg,False,True
frame_0772.jpg,False,True
frame_0775.jpg,False,True
frame_0778.jpg,False,True
frame_078.jpg,False,True
frame_0782.jpg,False,True
frame_0785.jpg,False,True
frame_0786.jpg,False,True
frame_0787.jpg,False,True
frame_0788.jpg,False,True
frame_0789.jpg,False,True
frame_079.jpg,False,True
frame_0790.jpg,False,True
frame_0791.jpg,False,True
frame_0792.jpg,False,True
frame_0793.jpg,False,True
frame_0796.jpg,False,True
frame_0797.jpg,True,False
frame_080.jpg,False,True
frame_0807.jpg,False,True
frame_0808.jpg,False,True
frame_0809.jpg,False,True
frame_0810.jpg,False,True
frame_0811.jpg,False,True
frame_0812.jpg,False,True
frame_0813.jpg,False,True
frame_0814.jpg,False,True
frame_0815.jpg,False,True
frame_0816.jpg,False,True
frame_0817.jpg,False,True
frame_0820.jpg,False,True
frame_0821.jpg,False,True
frame_0823.jpg,False,True
frame_0824.jpg,False,True
frame_0826.jpg,False,True
frame_0828.jpg,False,True
frame_0831.jpg,False,True
frame_0832.jpg,False,True
frame_0834.jpg,False,True
frame_0836.jpg,False,True
frame_084.jpg,False,True
frame_085.jpg,False,True
frame_0861.jpg,False,True
frame_0862.jpg,False,True
frame_0863.jpg,False,True
frame_0864.jpg,True,False
frame_0865.jpg,False,True
frame_0868.jpg,True,False
frame_0869.jpg,True,False
frame_087.jpg,False,True
frame_0870.jpg,True,False
frame_0871.jpg,True,False
frame_0876.jpg,False,True
frame_0877.jpg,False,True
frame_0878.jpg,True,False
frame_0884.jpg,False,True
frame_0885.jpg,False,True
frame_0886.jpg,False,True
frame_0887.jpg,False,True
frame_0888.jpg,False,True
frame_0889.jpg,False,True
frame_0890.jpg,False,True
frame_0894.jpg,False,True
frame_0895.jpg,False,True
frame_0896.jpg,False,True
frame_0897.jpg,False,True
frame_0899.jpg,False,True
frame_09.jpg,False,True
frame_0900.jpg,False,True
frame_0901.jpg,False,True
frame_0903.jpg,False,True
frame_0905.jpg,False,True
frame_0906.jpg,False,True
frame_0907.jpg,False,True
frame_091.jpg,False,True
frame_0911.jpg,False,True
frame_0912.jpg,False,True
frame_0913.jpg,False,True
frame_0915.jpg,False,True
frame_0916.jpg,False,True
frame_0919.jpg,False,True
frame_092.jpg,False,True
frame_0920.jpg,False,True
frame_093.jpg,False,True
frame_094.jpg,False,True
frame_095.jpg,False,True
frame_096.jpg,False,True
frame_098.jpg,False,True
frame_099.jpg,False,True
frame_10.jpg,True,False
frame_11.jpg,True,False
frame_110.jpg,False,True
frame_1104.jpg,True,False
frame_1105.jpg,True,False
frame_1107.jpg,True,False
frame_1108.jpg,True,False
frame_1109.jpg,True,False
frame_111.jpg,False,True
frame_1110.jpg,True,False
frame_1114.jpg,True,False
frame_1115.jpg,True,False
frame_1116.jpg,True,False
frame_1117.jpg,True,False
frame_1118.jpg,True,False
frame_1119.jpg,True,False
frame_112.jpg,False,True
frame_1122.jpg,True,False
frame_1123.jpg,True,False
frame_1125.jpg,True,False
frame_1127.jpg,True,False
frame_113.jpg,False,True
frame_1130.jpg,True,False
frame_1132.jpg,True,False
frame_1133.jpg,False,True
frame_1134.jpg,False,True
frame_1135.jpg,False,True
frame_1136.jpg,False,True
frame_1137.jpg,False,True
frame_1139.jpg,False,True
frame_1141.jpg,False,True
frame_1142.jpg,False,True
frame_1143.jpg,False,True
frame_1145.jpg,False,True
frame_1146.jpg,False,True
frame_1152.jpg,False,True
frame_1154.jpg,False,True
frame_1155.jpg,False,True
frame_1157.jpg,False,True
frame_1158.jpg,False,True
frame_1159.jpg,False,True
frame_1160.jpg,False,True
frame_1161.jpg,False,True
frame_1162.jpg,True,False
frame_1163.jpg,False,True
frame_1164.jpg,False,True
frame_1165.jpg,True,False
frame_117.jpg,False,True
frame_118.jpg,False,True
frame_119.jpg,False,True
frame_12.jpg,True,False
frame_120.jpg,False,True
frame_121.jpg,False,True
frame_122.jpg,True,False
